timestamps,TP9,AF7,AF8,TP10,Right AUX
1734296594.704,19.043,22.949,30.762,-10.742,-83.008
1734296594.708,56.152,25.391,33.691,89.844,179.688
1734296594.712,41.504,21.484,31.738,63.965,150.879
1734296594.715,2.441,18.555,31.250,-29.785,-117.188
1734296594.719,7.812,19.043,29.785,-27.344,-127.930
1734296594.723,42.969,19.043,25.391,69.336,141.602
1734296594.727,46.387,26.855,22.949,85.449,215.820
1734296594.731,14.648,35.156,22.949,-9.277,-10.254
1734296594.735,7.324,34.668,26.367,-41.992,-159.668
1734296594.739,43.457,34.180,26.855,43.457,62.500
1734296594.743,61.035,33.203,27.344,96.191,275.391
1734296594.747,32.227,28.809,32.715,28.320,79.102
1734296594.751,2.930,23.438,36.133,-43.457,-157.227
1734296594.755,32.715,24.902,30.762,26.367,-22.949
1734296594.758,75.195,40.039,20.508,116.211,210.938
1734296594.762,34.180,49.316,23.926,41.992,113.281
1734296594.766,-15.137,47.363,34.180,-50.293,-132.812
1734296594.770,18.066,44.434,36.621,0.977,-96.191
1734296594.774,61.035,49.805,35.645,93.262,148.438
1734296594.778,41.992,51.270,29.297,65.918,186.035
1734296594.782,5.859,46.387,23.438,-27.344,-56.641
1734296594.786,17.578,49.316,25.391,-18.555,-147.949
1734296594.790,51.758,54.199,23.926,72.266,87.402
1734296594.794,54.688,55.176,18.555,93.750,201.660
1734296594.797,17.578,49.805,20.996,2.930,-9.277
1734296594.801,5.371,48.340,25.391,-41.016,-161.133
1734296594.805,43.457,46.875,24.414,50.293,27.832
1734296594.809,66.895,49.805,25.879,111.816,207.520
1734296594.813,39.551,56.641,26.855,36.133,42.969
1734296594.817,12.695,53.711,24.902,-36.133,-174.316
1734296594.821,33.691,46.875,20.508,25.879,-42.969
1734296594.825,61.523,44.922,19.531,109.375,193.848
1734296594.829,43.945,35.156,23.438,63.965,107.422
1734296594.833,8.789,34.668,22.949,-28.320,-143.555
1734296594.836,24.902,46.387,22.461,-2.930,-113.770
1734296594.840,63.477,48.828,19.043,88.379,159.668
1734296594.844,50.781,49.316,21.484,83.008,205.566
1734296594.848,13.672,51.758,34.668,-8.789,-27.832
