timestamps,TP9,AF7,AF8,TP10,Right AUX
1735836597.181,0.000,40.039,12.695,16.602,46.875
1735836597.184,20.020,42.969,32.227,83.496,80.078
1735836597.188,39.551,43.457,46.875,91.309,82.520
1735836597.192,41.992,42.969,50.781,49.316,85.938
1735836597.196,52.246,42.480,57.129,4.883,57.129
1735836597.200,63.965,35.645,44.434,49.316,44.922
1735836597.204,44.434,49.316,43.457,93.262,20.020
1735836597.208,20.020,53.223,36.133,21.484,-21.484
1735836597.212,26.367,32.715,16.602,-15.625,5.859
1735836597.216,26.855,30.762,28.809,30.273,38.574
1735836597.220,27.344,39.062,37.598,83.008,37.598
1735836597.224,39.062,47.852,41.504,69.336,13.184
1735836597.227,38.574,41.016,35.156,26.367,41.504
1735836597.231,37.598,35.645,32.227,39.062,62.012
1735836597.235,29.785,32.715,32.715,83.496,59.570
1735836597.239,23.438,32.715,40.039,77.637,56.152
1735836597.243,39.551,31.738,45.410,20.508,24.902
1735836597.247,41.992,36.621,36.133,12.695,26.367
1735836597.251,39.062,43.945,24.414,62.988,32.227
1735836597.255,26.855,39.551,15.137,63.965,22.949
1735836597.259,41.504,48.828,20.996,67.871,19.531
1735836597.263,66.406,54.688,32.227,42.480,28.320
1735836597.266,51.758,32.715,13.184,66.406,57.129
1735836597.270,74.219,36.133,14.160,115.723,52.734
1735836597.274,68.848,34.180,38.086,54.688,53.223
1735836597.278,21.973,30.273,54.199,24.414,42.480
1735836597.282,36.621,30.762,46.875,46.387,32.227
1735836597.286,35.156,25.879,29.785,66.895,48.340
1735836597.290,30.762,35.156,22.949,61.035,42.480
1735836597.294,41.992,36.133,21.973,20.996,18.555
1735836597.298,36.621,24.902,31.738,16.113,23.926
1735836597.302,12.207,22.949,29.297,56.641,58.105
1735836597.306,12.695,28.809,25.391,66.895,53.711
1735836597.309,25.391,30.762,29.785,27.344,32.715
1735836597.313,48.828,31.738,32.715,-4.395,34.668
1735836597.317,68.359,41.016,36.621,49.805,20.020
1735836597.321,32.715,39.062,31.738,59.570,13.184
1735836597.325,19.043,30.762,29.297,27.832,16.113
1735836597.329,23.438,32.715,36.621,-5.859,10.742
1735836597.333,52.734,34.180,26.367,28.809,27.832
1735836597.337,62.012,37.598,21.973,95.215,27.832
1735836597.341,35.645,41.992,30.273,61.035,23.926
1735836597.345,41.016,39.551,40.527,23.926,24.414
1735836597.349,24.414,27.344,34.180,34.180,44.922
1735836597.352,34.180,44.434,39.062,77.148,50.781
1735836597.356,63.477,54.688,52.246,61.523,20.508
1735836597.360,54.688,37.598,45.410,7.812,11.230
1735836597.364,32.715,39.062,39.062,24.902,35.645
1735836597.368,35.156,38.574,31.250,55.176,62.500
1735836597.372,51.758,44.922,28.809,60.059,47.363
1735836597.376,28.809,47.363,31.738,53.223,33.203
1735836597.380,22.461,40.039,32.227,38.574,49.316
1735836597.384,35.156,40.039,34.668,86.914,55.176
1735836597.388,28.320,39.062,41.504,85.938,20.508
1735836597.391,29.297,46.875,44.922,19.531,3.906
1735836597.395,39.551,42.480,31.250,1.953,38.086
1735836597.399,19.043,27.344,14.160,31.250,61.035
1735836597.403,29.785,35.645,21.973,70.312,52.734
1735836597.407,42.969,44.434,34.180,54.688,54.688
1735836597.411,37.109,50.293,46.387,11.230,39.551
1735836597.415,35.645,34.180,46.387,20.996,22.461
1735836597.419,23.926,25.879,33.691,76.172,20.020
1735836597.423,30.762,36.133,25.879,92.285,20.508
1735836597.427,62.988,49.316,32.715,44.434,28.320
1735836597.431,62.012,63.965,40.527,36.133,25.391
1735836597.434,20.020,55.664,32.227,97.656,29.297
1735836597.438,23.438,46.387,31.738,83.496,26.367
1735836597.442,61.523,33.691,27.344,24.414,26.855
1735836597.446,69.336,43.457,43.457,1.465,27.832
1735836597.450,36.621,64.941,57.129,40.527,7.324
1735836597.454,11.719,39.062,32.715,82.520,22.949
1735836597.458,10.742,22.949,26.855,68.359,43.945
1735836597.462,30.273,31.738,27.832,22.461,39.062
1735836597.466,41.016,39.551,33.203,25.879,43.945
1735836597.470,25.879,45.410,46.875,79.590,22.949
1735836597.474,19.531,38.086,44.434,81.055,10.254
1735836597.477,28.809,40.039,36.621,31.738,29.297
1735836597.481,37.598,45.898,42.480,42.969,53.223
1735836597.485,64.941,57.617,54.688,77.148,44.922
1735836597.489,68.359,55.176,50.293,53.223,28.320
1735836597.493,25.391,26.367,39.551,20.020,66.406
1735836597.497,20.508,20.996,46.875,37.109,79.590
1735836597.501,35.156,24.414,45.410,97.168,68.848
1735836597.505,47.363,41.016,48.340,96.191,31.738
1735836597.509,41.992,46.875,44.434,68.359,18.555
1735836597.513,29.785,44.434,38.086,38.574,31.738
1735836597.516,46.875,41.016,43.457,50.781,34.180
1735836597.520,56.152,48.828,44.434,89.355,39.062
1735836597.524,47.852,62.012,43.945,51.758,40.039
1735836597.528,33.691,46.875,56.152,17.090,39.551
1735836597.532,42.969,36.621,54.688,63.477,47.363
1735836597.536,50.781,38.086,42.969,81.543,48.828
1735836597.540,33.203,49.805,47.363,64.453,26.855
1735836597.544,28.809,53.223,48.828,22.461,6.836
1735836597.548,12.207,39.062,37.598,10.742,43.457
1735836597.552,27.832,43.457,40.527,66.406,69.824
1735836597.556,40.527,45.410,45.410,62.500,34.180
1735836597.559,35.645,45.410,49.316,39.062,3.906
1735836597.563,39.062,40.039,41.504,32.715,25.879
1735836597.567,56.641,23.438,24.414,51.270,47.363
1735836597.571,49.316,34.180,35.156,68.359,37.109
1735836597.575,2.441,53.223,43.457,52.734,42.480
1735836597.579,16.602,57.617,58.594,36.621,23.926
1735836597.583,32.227,41.016,53.223,40.039,-2.930
1735836597.587,23.926,31.250,26.367,64.453,40.039
1735836597.591,35.156,41.992,28.809,72.754,46.387
1735836597.595,51.758,41.992,32.715,41.504,29.297
1735836597.599,56.152,28.320,35.645,40.527,48.340
1735836597.602,29.297,23.926,46.387,64.941,47.852
1735836597.606,24.902,40.039,45.410,65.918,38.086
1735836597.610,39.551,48.828,32.715,28.809,28.320
1735836597.614,20.020,48.828,43.457,24.414,30.762
1735836597.618,45.898,46.875,55.664,64.453,26.367
1735836597.622,55.176,47.363,48.340,67.383,15.625
1735836597.626,40.039,50.293,49.805,51.270,9.277
1735836597.630,29.785,36.621,44.434,30.762,11.719
1735836597.634,21.484,34.180,42.969,76.660,25.391
1735836597.638,39.551,41.504,49.316,85.938,25.391
1735836597.641,40.527,32.715,42.969,13.184,27.832
1735836597.645,60.547,36.133,44.922,-4.883,31.250
1735836597.649,49.805,42.969,36.133,36.621,44.922
1735836597.653,58.105,54.688,37.598,88.379,41.992
1735836597.657,63.965,53.711,46.875,48.340,6.836
1735836597.661,14.160,39.062,42.969,-27.832,17.578
1735836597.665,9.766,45.898,48.828,27.832,34.180
1735836597.669,23.926,45.410,45.410,93.750,41.504
1735836597.673,33.203,50.293,54.688,71.777,37.109
1735836597.677,25.879,47.363,51.270,0.488,7.812
1735836597.681,35.156,25.391,30.273,-20.996,9.277
1735836597.684,25.391,20.508,26.367,55.664,41.992
1735836597.688,9.277,34.180,32.715,76.172,35.156
1735836597.692,37.109,41.504,36.133,58.594,11.230
1735836597.696,28.320,29.785,26.367,17.578,38.086
1735836597.700,33.691,28.809,28.320,26.855,49.805
1735836597.704,58.105,36.621,35.645,85.938,31.250
1735836597.708,49.805,40.527,31.250,53.711,22.949
1735836597.712,11.230,41.016,27.832,3.906,41.504
1735836597.716,10.742,39.551,40.039,15.625,39.551
1735836597.720,25.391,35.156,42.480,52.246,53.223
1735836597.723,36.621,36.133,42.480,57.129,35.645
1735836597.727,43.457,48.340,47.363,34.668,23.926
1735836597.731,39.062,50.293,45.410,36.621,26.855
1735836597.735,29.785,26.367,25.391,54.199,44.922
1735836597.739,43.945,34.668,24.902,64.453,68.848
1735836597.743,49.805,45.410,38.574,60.547,47.363
1735836597.747,29.297,47.363,36.133,29.785,43.945
1735836597.751,20.996,49.805,25.391,62.988,46.387
1735836597.755,17.090,41.504,23.926,62.500,47.363
1735836597.759,26.855,37.598,35.645,-0.488,19.531
1735836597.763,50.293,37.598,39.551,-8.789,-1.465
1735836597.766,52.246,40.039,45.410,30.273,15.625
1735836597.770,35.156,39.062,39.551,63.965,18.555
1735836597.774,17.090,32.227,26.367,23.926,6.836
1735836597.778,23.438,35.645,36.133,-8.301,-2.441
1735836597.782,33.691,34.180,29.297,32.227,35.645
1735836597.786,47.852,36.621,29.297,76.172,55.664
1735836597.790,23.926,25.879,33.691,74.219,41.992
1735836597.794,4.395,29.785,30.762,15.625,17.578
1735836597.798,21.973,41.504,29.785,-4.883,16.602
