timestamps,TP9,AF7,AF8,TP10,Right AUX
1735523369.232,27.832,38.086,7.812,-35.645,-92.773
1735523369.236,32.227,38.574,8.301,-3.906,-110.352
1735523369.240,54.688,37.109,10.742,100.098,114.258
1735523369.244,53.223,37.109,10.742,105.469,176.270
1735523369.247,26.855,37.109,12.695,-9.766,-63.965
1735523369.251,19.531,33.203,14.648,-31.250,-142.578
1735523369.255,42.480,28.809,18.066,64.941,41.504
1735523369.259,54.688,32.227,19.531,113.281,196.289
1735523369.263,23.438,31.250,14.648,-0.488,-9.277
1735523369.267,10.254,26.367,9.766,-48.340,-142.578
1735523369.271,30.762,29.297,4.883,33.203,-8.301
1735523369.275,55.176,27.344,7.812,116.211,198.730
1735523369.279,45.898,25.879,15.137,41.992,100.586
1735523369.283,24.902,33.203,15.625,-31.738,-82.520
1735523369.287,28.320,36.133,12.695,16.113,-43.945
1735523369.290,50.781,35.645,11.230,111.328,178.223
1735523369.294,40.527,37.598,10.742,75.195,167.480
1735523369.298,18.555,40.039,12.695,-19.043,-83.008
1735523369.302,23.926,38.574,20.020,6.836,-107.422
1735523369.306,45.898,28.320,20.020,96.680,104.492
1735523369.310,52.246,28.809,17.578,100.098,199.219
1735523369.314,27.832,37.598,16.113,-6.836,-22.949
1735523369.318,17.090,37.109,11.230,-27.832,-127.930
1735523369.322,39.062,39.062,11.719,60.059,31.738
1735523369.326,57.617,40.527,15.137,112.793,225.098
1735523369.329,31.250,35.645,17.090,4.883,37.598
1735523369.333,36.133,30.762,19.531,-32.227,-145.508
1735523369.337,51.758,31.250,19.531,43.945,-2.930
1735523369.341,37.109,32.227,12.695,95.215,198.730
1735523369.345,19.531,32.227,9.766,11.719,90.332
1735523369.349,19.531,35.645,9.766,-55.176,-99.121
1735523369.353,30.762,35.156,11.719,0.977,-53.223
1735523369.357,55.664,35.156,10.254,100.098,128.418
1735523369.361,47.363,35.645,9.766,72.266,147.461
1735523369.365,23.926,34.668,16.602,-25.879,-42.480
1735523369.369,24.902,35.645,16.602,-15.625,-102.051
1735523369.372,44.434,33.203,13.184,77.637,74.707
1735523369.376,56.641,31.250,13.184,99.121,180.664
1735523369.380,25.391,36.621,14.160,-12.207,-14.160
1735523369.384,15.625,39.062,13.184,-39.062,-107.422
1735523369.388,39.062,34.668,15.625,51.270,39.551
1735523369.392,55.664,35.645,18.066,118.652,203.125
1735523369.396,27.832,29.297,18.066,19.043,40.039
1735523369.400,10.254,24.414,14.160,-36.621,-110.840
1735523369.404,30.762,29.297,8.301,24.902,-0.977
1735523369.408,48.828,29.297,10.742,103.027,208.008
1735523369.411,27.832,35.156,17.090,48.340,135.254
1735523369.415,13.672,36.133,16.113,-43.945,-120.117
1735523369.419,25.391,30.273,11.719,-9.766,-102.051
1735523369.423,50.293,32.227,10.254,88.379,168.457
1735523369.427,51.758,33.203,14.160,73.730,221.680
1735523369.431,24.902,30.762,16.602,-30.762,-45.898
