timestamps,TP9,AF7,AF8,TP10,Right AUX
1735828351.610,31.738,44.922,39.062,55.176,71.289
1735828351.614,15.137,50.781,35.645,12.695,-62.012
1735828351.618,20.996,49.805,31.738,37.109,-4.395
1735828351.622,43.457,37.109,30.273,90.820,128.906
1735828351.626,31.738,34.180,27.344,60.547,116.211
1735828351.630,13.672,42.969,41.016,2.441,-56.152
1735828351.634,18.066,33.203,41.992,23.438,-69.336
1735828351.638,35.156,33.203,27.832,68.848,102.539
1735828351.642,38.086,39.062,22.949,62.012,114.258
1735828351.646,18.066,30.273,26.367,12.695,-27.832
1735828351.649,18.066,31.738,30.273,10.254,-83.008
1735828351.653,36.133,41.504,24.902,62.988,75.684
1735828351.657,54.199,50.781,29.297,90.332,170.898
1735828351.661,42.480,60.547,44.922,54.199,8.789
1735828351.665,31.738,59.082,48.828,21.973,-109.863
1735828351.669,40.527,47.363,42.480,56.641,4.883
1735828351.673,54.199,58.594,41.992,99.121,167.480
1735828351.677,54.688,83.008,51.270,69.336,77.148
1735828351.681,39.551,77.637,50.293,20.020,-82.031
1735828351.685,35.645,55.664,37.598,37.109,-2.930
1735828351.689,43.945,47.852,33.203,75.684,148.438
1735828351.692,39.551,52.734,37.598,59.570,116.211
1735828351.696,22.461,54.199,41.504,8.301,-73.730
1735828351.700,9.277,38.086,25.391,-1.953,-64.453
1735828351.704,18.066,28.320,15.137,47.852,104.980
1735828351.708,30.762,32.715,29.297,70.312,123.047
1735828351.712,28.809,35.645,48.828,29.297,-25.391
1735828351.716,26.855,52.246,57.129,14.648,-96.191
1735828351.720,51.270,62.988,62.500,79.590,54.199
1735828351.724,84.961,73.242,71.777,130.859,156.250
1735828351.728,59.570,81.055,60.059,71.777,29.297
1735828351.731,24.414,80.566,50.781,9.766,-89.844
1735828351.735,34.180,73.730,47.852,43.457,9.277
1735828351.739,50.781,67.383,39.062,83.008,156.738
1735828351.743,56.152,79.590,45.898,59.082,90.332
1735828351.747,40.039,78.125,45.898,16.602,-80.078
1735828351.751,40.527,64.941,35.645,35.156,-46.875
1735828351.755,63.965,63.965,30.762,82.520,126.465
1735828351.759,62.988,68.359,33.203,74.219,96.191
1735828351.763,32.715,69.336,35.156,18.066,-67.383
1735828351.767,21.973,68.848,30.273,9.277,-79.102
1735828351.771,43.457,62.012,30.762,69.336,70.801
1735828351.774,56.641,60.547,36.621,80.078,145.508
1735828351.778,47.363,65.918,36.621,27.832,-2.930
1735828351.782,41.992,67.871,36.621,11.230,-103.027
