timestamps,TP9,AF7,AF8,TP10,Right AUX
1738881649.574,-27.832,-60.059,-50.781,-5.371,0.000
1738881649.578,-15.137,-51.270,-46.387,-13.184,0.000
1738881649.582,-19.531,-46.875,-45.410,-31.738,0.000
1738881649.586,-37.109,-48.828,-45.898,-41.016,0.000
1738881649.590,-37.598,-47.852,-44.434,-17.090,0.000
1738881649.594,-22.461,-46.387,-42.480,4.883,0.000
1738881649.598,-37.109,-41.504,-41.992,-6.348,0.000
1738881649.601,-40.039,-40.527,-43.945,-14.648,0.000
1738881649.605,-19.531,-42.480,-47.363,-19.531,0.000
1738881649.609,-17.090,-44.922,-50.293,-10.254,0.000
1738881649.613,-19.531,-49.805,-51.270,-23.926,0.000
1738881649.617,-29.785,-53.223,-49.316,-45.898,0.000
1738881649.621,-27.344,-55.176,-47.363,-37.109,0.000
1738881649.625,-15.137,-56.152,-44.434,-20.996,0.000
1738881649.629,-19.043,-54.688,-43.945,-18.555,0.000
1738881649.633,-20.996,-51.270,-45.410,-9.277,0.000
1738881649.637,-6.348,-50.781,-39.551,-3.418,0.000
1738881649.640,-15.625,-55.664,-32.715,-4.883,0.000
1738881649.644,-27.344,-54.688,-30.762,8.301,0.000
1738881649.648,-38.086,-48.340,-30.762,1.953,0.000
1738881649.652,-20.508,-55.176,-25.879,-8.301,0.000
1738881649.656,-26.367,-58.105,-23.926,1.953,0.000
1738881649.660,-46.875,-53.711,-27.832,-5.859,0.000
1738881649.664,-20.020,-55.176,-31.738,-18.555,0.000
1738881649.668,-20.020,-53.711,-37.109,-20.996,0.000
1738881649.672,-32.715,-51.270,-38.086,-19.043,0.000
1738881649.676,-25.391,-55.664,-40.039,-16.602,0.000
1738881649.680,-30.273,-53.711,-41.016,-2.441,0.000
1738881649.683,-44.434,-51.270,-34.668,-1.953,0.000
1738881649.687,-35.645,-49.805,-29.785,-34.668,0.000
1738881649.691,-29.785,-48.340,-29.785,-41.016,0.000
1738881649.695,-18.555,-47.852,-30.762,-31.738,0.000
1738881649.699,-8.789,-46.875,-29.785,-24.902,0.000
1738881649.703,-35.645,-45.410,-29.297,-20.020,0.000
1738881649.707,-21.484,-42.969,-25.391,-21.484,0.000
1738881649.711,-4.883,-39.551,-21.484,-3.906,0.000
1738881649.715,-12.695,-36.621,-20.020,7.812,0.000
1738881649.719,6.836,-34.180,-16.602,-1.465,0.000
1738881649.723,-0.488,-31.738,-16.113,-9.766,0.000
1738881649.726,-14.648,-36.133,-18.555,5.371,0.000
1738881649.730,-32.715,-41.992,-16.602,-7.812,0.000
1738881649.734,-36.621,-44.922,-17.090,-30.273,0.000
1738881649.738,-19.043,-42.969,-17.578,-19.043,0.000
1738881649.742,-23.438,-48.828,-21.973,-14.648,0.000
1738881649.746,-39.062,-50.781,-20.508,-4.883,0.000
1738881649.750,-39.062,-45.898,-16.602,-12.207,0.000
1738881649.754,-23.926,-49.805,-27.344,-13.672,0.000
1738881649.758,-6.348,-49.316,-34.180,2.930,0.000
1738881649.762,-11.230,-46.875,-33.691,1.465,0.000
1738881649.765,-25.391,-57.617,-34.668,2.930,0.000
1738881649.769,-11.719,-58.594,-40.039,9.277,0.000
1738881649.773,0.977,-52.246,-45.410,-5.859,0.000
1738881649.777,-8.789,-47.363,-41.016,-20.996,0.000
1738881649.781,-22.949,-44.922,-39.551,-12.695,0.000
1738881649.785,-33.203,-45.410,-41.504,-2.930,0.000
1738881649.789,-20.020,-49.316,-39.551,2.441,0.000
1738881649.793,-0.977,-50.293,-42.969,-6.836,0.000
1738881649.797,-8.301,-46.875,-43.457,-10.254,0.000
1738881649.801,-21.973,-49.316,-41.992,-8.789,0.000
1738881649.805,-24.902,-48.340,-41.992,-11.719,0.000
1738881649.808,-19.531,-45.898,-40.039,2.930,0.000
1738881649.812,-20.508,-54.199,-43.457,-6.836,0.000
1738881649.816,-10.254,-56.152,-40.039,-24.414,0.000
1738881649.820,-13.672,-53.223,-36.133,-10.742,0.000
1738881649.824,-28.320,-59.570,-37.598,3.906,0.000
1738881649.828,-8.789,-57.129,-33.691,3.906,0.000
1738881649.832,1.465,-47.852,-31.250,-3.418,0.000
1738881649.836,-21.973,-48.340,-27.832,-8.301,0.000
1738881649.840,-29.785,-46.387,-31.250,-12.695,0.000
1738881649.844,-22.949,-42.969,-36.133,-9.277,0.000
1738881649.848,-17.578,-42.480,-31.738,-16.602,0.000
