timestamps,TP9,AF7,AF8,TP10,Right AUX
1738883905.530,-40.527,-28.809,-33.691,-36.621,0.000
1738883905.534,-33.203,-26.855,-30.273,-26.367,0.000
1738883905.537,-32.715,-27.832,-28.809,-4.395,0.000
1738883905.541,-40.527,-30.762,-36.621,-6.836,0.000
1738883905.545,-47.363,-31.250,-38.086,-25.879,0.000
1738883905.549,-44.922,-35.156,-33.691,-25.879,0.000
1738883905.553,-39.551,-41.992,-29.297,-1.953,0.000
1738883905.557,-50.293,-35.156,-30.762,3.418,0.000
1738883905.561,-55.664,-26.855,-41.504,-12.695,0.000
1738883905.565,-49.316,-27.832,-39.551,-20.996,0.000
1738883905.569,-40.527,-29.297,-33.203,-10.742,0.000
1738883905.573,-38.574,-27.344,-37.109,2.930,0.000
1738883905.577,-43.945,-32.227,-38.086,0.488,0.000
1738883905.580,-40.039,-35.156,-36.133,-8.789,0.000
1738883905.584,-34.180,-34.668,-32.715,-7.324,0.000
1738883905.588,-35.156,-34.668,-37.598,4.883,0.000
1738883905.592,-32.715,-34.668,-48.340,6.836,0.000
1738883905.596,-25.879,-26.855,-45.898,-1.953,0.000
1738883905.600,-29.297,-26.367,-35.156,6.836,0.000
1738883905.604,-33.691,-30.273,-28.809,20.020,0.000
1738883905.608,-33.691,-25.879,-39.551,14.648,0.000
1738883905.612,-36.133,-21.484,-51.270,-2.930,0.000
1738883905.616,-40.039,-25.879,-49.316,-15.625,0.000
1738883905.619,-38.086,-34.180,-46.387,3.418,0.000
1738883905.623,-25.391,-40.527,-47.363,14.160,0.000
1738883905.627,-24.414,-34.668,-47.363,3.418,0.000
1738883905.631,-52.246,-21.973,-53.223,-44.434,0.000
1738883905.635,-57.129,-20.996,-69.336,-60.547,0.000
1738883905.639,-37.109,-26.855,-80.078,-31.250,0.000
1738883905.643,-37.109,-34.180,-72.266,-32.715,0.000
1738883905.647,-41.992,-31.250,-63.477,-41.016,0.000
1738883905.651,-39.062,-29.785,-62.012,-30.762,0.000
1738883905.655,-36.133,-36.621,-62.012,-13.184,0.000
1738883905.659,-38.086,-39.551,-67.383,-16.113,0.000
1738883905.662,-48.340,-39.062,-70.312,-41.016,0.000
1738883905.666,-38.574,-34.668,-63.965,-37.598,0.000
1738883905.670,-20.508,-28.320,-63.965,-9.766,0.000
1738883905.674,-23.438,-25.879,-64.941,-2.441,0.000
1738883905.678,-28.320,-31.250,-59.570,-6.836,0.000
1738883905.682,-25.879,-38.086,-54.688,-9.766,0.000
1738883905.686,-24.902,-37.109,-54.199,-0.977,0.000
1738883905.690,-29.297,-34.180,-49.805,11.719,0.000
1738883905.694,-33.203,-36.621,-50.781,10.742,0.000
1738883905.698,-39.062,-44.434,-56.152,-6.836,0.000
1738883905.702,-41.504,-42.969,-59.570,-6.836,0.000
1738883905.705,-37.598,-27.832,-61.523,13.672,0.000
1738883905.709,-29.297,-24.414,-62.500,8.301,0.000
1738883905.713,-34.668,-29.785,-60.547,-17.090,0.000
1738883905.717,-41.504,-27.832,-46.387,-11.230,0.000
1738883905.721,-35.156,-28.320,-44.922,10.254,0.000
1738883905.725,-35.156,-37.598,-59.570,13.184,0.000
1738883905.729,-40.039,-41.992,-60.547,-2.930,0.000
1738883905.733,-41.992,-36.621,-56.641,-22.461,0.000
1738883905.737,-35.156,-42.480,-54.688,-20.020,0.000
1738883905.741,-39.062,-49.805,-51.270,-13.672,0.000
1738883905.744,-42.480,-42.969,-48.340,-11.719,0.000
1738883905.748,-31.738,-35.645,-44.922,-5.859,0.000
1738883905.752,-26.367,-40.039,-50.293,-0.977,0.000
1738883905.756,-31.250,-40.039,-47.852,6.836,0.000
1738883905.760,-29.785,-27.832,-38.086,12.207,0.000
1738883905.764,-30.273,-31.250,-46.387,4.883,0.000
1738883905.768,-21.484,-29.785,-45.410,12.207,0.000
1738883905.772,-12.695,-22.461,-41.992,16.602,0.000
1738883905.776,-19.531,-25.391,-40.527,10.254,0.000
1738883905.780,-30.273,-35.156,-29.297,2.930,0.000
1738883905.784,-33.691,-38.086,-26.855,5.859,0.000
1738883905.787,-26.855,-30.762,-28.320,16.602,0.000
1738883905.791,-28.809,-27.344,-31.738,14.648,0.000
1738883905.795,-36.621,-27.344,-36.133,4.395,0.000
1738883905.799,-41.016,-26.855,-39.551,-5.371,0.000
1738883905.803,-43.457,-32.715,-44.922,-13.672,0.000
1738883905.807,-44.922,-35.156,-44.922,-14.648,0.000
1738883905.811,-45.898,-41.016,-37.598,-18.555,0.000
1738883905.815,-49.316,-45.898,-40.527,-27.344,0.000
1738883905.819,-37.598,-43.457,-41.016,-12.207,0.000
1738883905.823,-28.809,-53.223,-35.156,-4.883,0.000
1738883905.827,-33.691,-60.547,-40.039,-25.879,0.000
1738883905.830,-26.367,-39.551,-39.062,-26.367,0.000
1738883905.834,-15.625,-26.367,-43.457,-8.301,0.000
1738883905.838,-14.160,-33.691,-47.852,3.418,0.000
1738883905.842,-28.320,-46.387,-41.992,6.836,0.000
